keys,en
"Completed Chapters","Completed Chapters"
"None yet.","None yet."
"No Active Chapter","No Active Chapter"
"Optional","Optional"
"Save data could not be loaded (%s) — starting fresh.","Save data could not be loaded (%s) — starting fresh."
"While you were away: your empire kept running (%d ticks)","While you were away: your empire kept running (%d ticks)"
"Unknown Island","Unknown Island"
"%s (Neutral)","%s (Neutral)"
"%s (Enemy)","%s (Enemy)"
"This region has not yet drawn attention","This region has not yet drawn attention"
"Unbound","Unbound"
"Reset to Defaults","Reset to Defaults"
"Sensitivity","Sensitivity"
"Dead Zone","Dead Zone"
"Graphics Quality","Graphics Quality"
"Low","Low"
"Medium","Medium"
"High","High"
"Press any key...","Press any key..."
"Previous Session Ended Unexpectedly","Previous Session Ended Unexpectedly"
"A local diagnostic report is ready for support. It contains no personal information and will not be sent automatically.","A local diagnostic report is ready for support. It contains no personal information and will not be sent automatically."
"Colonize (1000 Gold)","Colonize (1000 Gold)"
"Build","Build"
"Upgrade","Upgrade"
"Requires Island Tier %d","Requires Island Tier %d"
"Max Lvl","Max Lvl"
"Unknown Ship","Unknown Ship"
"HP: %d | DMG: %d | SPD: %d | TRN: %.1f","HP: %d | DMG: %d | SPD: %d | TRN: %.1f"
"%d Gold  %d Wood  %d Iron  ","%d Gold  %d Wood  %d Iron  "
"Buy","Buy"
"Owned","Owned"
"Recruit Crew (Currently: %d/%d)","Recruit Crew (Currently: %d/%d)"
"Cost: 10 Gold & 1 Rum per crew member","Cost: 10 Gold & 1 Rum per crew member"
"Recruit %d","Recruit %d"
"%d Gold  %d Rum  ","%d Gold  %d Rum  "
"Crew Full","Crew Full"
"%s (SPD x%.2f | TRN x%.2f | DMG x%.2f | HP x%.2f)","%s (SPD x%.2f | TRN x%.2f | DMG x%.2f | HP x%.2f)"
"%d Gold  ","%d Gold  "
"Hire","Hire"
"Hired","Hired"
"%s (Lvl %d)","%s (Lvl %d)"
"Active Player Ship | %s (Lvl %d)","Active Player Ship | %s (Lvl %d)"
"On Mission: %s | %s (Lvl %d)","On Mission: %s | %s (Lvl %d)"
"Idle at Port | %s (Lvl %d)","Idle at Port | %s (Lvl %d)"
"Recall","Recall"
"Trade Route","Trade Route"
"Patrol","Patrol"
"Defend: ON","Defend: ON"
"Defend: OFF","Defend: OFF"
"Make Active","Make Active"
"Level: MAX","Level: MAX"
"Level Up: %d Gold  %d Wood","Level Up: %d Gold  %d Wood"
"Level Up","Level Up"
"%s: %s","%s: %s"
"Empty","Empty"
"%s [Equipped]","%s [Equipped]"
"Research","Research"
"Researched","Researched"
"Requires prior research","Requires prior research"
"Diplomacy","Diplomacy"
"Pay Tribute — %s","Pay Tribute — %s"
"Reputation: %d | Cools down in %ds","Reputation: %d | Cools down in %ds"
"Reputation: %d | %d Gold for +%d reputation","Reputation: %d | %d Gold for +%d reputation"
"Tribute","Tribute"
"Sell %d %s","Sell %d %s"
"Receive %d Gold","Receive %d Gold"
"Sell","Sell"
"Log","Log"
"Map","Map"
"Codex","Codex"
"Objective complete: %s","Objective complete: %s"
"Chapter %d: %s","Chapter %d: %s"
"Chapter Complete: %s","Chapter Complete: %s"
"Notoriety: %.1f","Notoriety: %.1f"
"Next escalation in: %.1f","Next escalation in: %.1f"
"an Empire","an Empire"
"%s is now active!","%s is now active!"
"%s is hunting you!","%s is hunting you!"
"Too fast to dock — slow down!","Too fast to dock — slow down!"
"Boarding Successful!","Boarding Successful!"
"+%d %s ","+%d %s "
"Boarding Failed! Crew lost.","Boarding Failed! Crew lost."
"💰 %s / %s","💰 %s / %s"
"🪵 %s / %s","🪵 %s / %s"
"⛏️ %s / %s","⛏️ %s / %s"
"🍷 %s / %s","🍷 %s / %s"
"%d FPS (%.1f ms)","%d FPS (%.1f ms)"
"Next Production: %.1fs","Next Production: %.1fs"
"⚓ %.1f kn","⚓ %.1f kn"
"🤍 %d / %d HP","🤍 %d / %d HP"
"%s — %s","%s — %s"
"ON TARGET ✹","ON TARGET ✹"
"TARGET · RELOADING %d%%","TARGET · RELOADING %d%%"
"READY ⚓","READY ⚓"
"RELOADING %d%% ⌛","RELOADING %d%% ⌛"
"[SPACE] FULL BROADSIDE","[SPACE] FULL BROADSIDE"
"FULL BROADSIDE %d%%","FULL BROADSIDE %d%%"
"[R] %s %s","[R] %s %s"
"Gold","Gold"
"Wood","Wood"
"Iron","Iron"
"Rum","Rum"
"Pirate Clans","Pirate Clans"
"Royal Navy","Royal Navy"
"Merchant Guild","Merchant Guild"
"Ship Forward","Ship Forward"
"Ship Backward","Ship Backward"
"Ship Left","Ship Left"
"Ship Right","Ship Right"
"Camera Zoom In","Camera Zoom In"
"Camera Zoom Out","Camera Zoom Out"
"Camera Rotate Left","Camera Rotate Left"
"Camera Rotate Right","Camera Rotate Right"
"Dock","Dock"
"Interact","Interact"
"Pause","Pause"
"Special Broadside","Special Broadside"
"Captain Ability","Captain Ability"
"Hull","Hull"
"Cannon","Cannon"
"Sail","Sail"
"Utility","Utility"
"Special","Special"
"Island Name","Island Name"
"Undock & Leave","Undock & Leave"
"Continue","Continue"
"New Game","New Game"
"Settings","Settings"
"Master Volume","Master Volume"
"Music Volume","Music Volume"
"SFX Volume","SFX Volume"
"Fullscreen","Fullscreen"
"Resolution","Resolution"
"VSync","VSync"
"Tutorial","Tutorial"
"Replay Tutorial","Replay Tutorial"
"Back","Back"
"PORT CANNONS","PORT CANNONS"
"STARBOARD CANNONS","STARBOARD CANNONS"
"N","N"
"S","S"
"E","E"
"W","W"
"Your home island defenses held off an attack from %s.","Your home island defenses held off an attack from %s."
"Your home island was raided by %s.","Your home island was raided by %s."
"Raid Repelled!","Raid Repelled!"
"Raid Successful!","Raid Successful!"
"Stolen Resources:","Stolen Resources:"
"Nothing was stolen.","Nothing was stolen."
"Empire report","Empire report"
"Close","Close"
"No completed chapters yet","No completed chapters yet"
"Your campaign summaries will appear here.","Your campaign summaries will appear here."
"Captains","Captains"
"Factions","Factions"
"Encountered through your crew and campaign progress.","Encountered through your crew and campaign progress."
